strain	mean.TOF
MY23	-33.8993191563075
MY2530	68.6044998368227
MY2535	40.5805580816523
MY2573	-10.677711417681
MY2693	-8.81152056717734
MY2713	-1.49644664977713
MY2741	-20.4458701784707
MY518	-3.19762864144065
MY679	21.4852773092938
MY772	-2.42998544309294
MY920	36.6997127727089
NIC1049	-36.3046857136661
NIC1107	16.8459954392458
NIC166	-12.1236644387966
NIC195	23.5623532172794
NIC199	-32.434170894392
NIC207	-23.0061540394589
NIC231	7.65578429278136
NIC236	38.9845143411431
NIC242	-53.2959303846272
NIC251	-37.3844885890259
NIC252	24.6811039731909
NIC256	5.29300580516766
NIC258	-19.0303898221872
NIC259	-39.4898933267264
NIC260	-18.1225014759647
NIC261	19.3189623305798
NIC262	-41.4998300642036
NIC265	5.08015914234436
NIC266	68.2950116527143
NIC267	-11.3565008995174
NIC268	-7.55316229958235
NIC269	-17.3219497853436
NIC271	-5.79576997853147
NIC272	-12.6442744145892
NIC274	-20.2425010960683
NIC275	4.80912298609522
NIC276	-1.31730833017798
NIC3	16.1696890708133
NIC501	9.44125831727298
NIC511	1.35401117521139
NIC514	-34.4781013751948
NIC515	7.55018587088968
NIC522	-22.5026975080221
NIC526	-10.3648219465083
NIC527	-38.8443594124226
PB303	22.7967196510319
PS2025	16.3068015175363
PX179	15.1521287442368
QG556	2.04790451055317
QG557	-6.7392451510878
QX1212	3.29850358629834
QX1233	-14.7471247956332
QX1791	-20.6248459138669
QX1792	-49.1001171025221
QX1793	-4.99578749061721
QX1794	6.53832671142895
RC301	43.4375013989095
WN2001	-37.6844599612776
WN2033	0.0504481959183375
WN2050	58.6870848018883
XZ1513	-36.8032476459651
XZ1514	12.0262111463291
